,filename,ATTRIBUTE_Species,ATTRIBUTE_Sppart,FC,ATTRIBUTE_Family,F_Specificty,Reported_comp_Species,Reported_comp_Genus,Reported_comp_Family
196,PF200_Blank9DMSO_1H2O_2A1_pos_v7_IODA_E.mzML,,,0,,0.230769231,0,0,0
197,PF200_Blank9DMSO_1H2O_1A1_pos_v7_IODA_G.mzML,,,0,,0,0,0,0
198,PF200_QCMix_1A3_pos_v7_IODA_F.mzML,,,0,,0,0,0,0
199,PF200_V601218_1D3_pos_v7_IODA.mzML,Taraxacum campylodes,Taraxacum campylodes RACINE,0,Asteraceae,0.714285714,87,87,3902
200,PF200_QCMix_1A3_pos_v7_IODA_E.mzML,,,0,,0.2,0,0,0
201,PF200_V602701_2E7_pos_v7_IODA.mzML,Echinacea angustifolia,Echinacea angustifolia PARTIE AERIENNE,0,Asteraceae,0.553571429,178,178,3902
202,PF200_V601217_1F4_pos_v7_IODA.mzML,Cynara scolymus,Cynara scolymus FEUILLE,0,Asteraceae,0.721804511,0,0,3902
203,PF200_V601145_1H10_pos_v7_IODA.mzML,Cichorium intybus,Cichorium intybus FEUILLE,0,Asteraceae,0,264,264,3902
204,PF200_V601313_1B10_pos_v7_IODA.mzML,Foeniculum vulgare,Foeniculum vulgare RACINE,0,Apiaceae,0.375,416,416,1499
205,PF200_QCMix_1A3_pos_v7_IODA_C.mzML,,,0,,0.2,0,0,0
206,PF200_QCMix_1A3_pos_v7_IODA_B.mzML,,,0,,0,0,0,0
207,PF200_QCMix_1A3_pos_v7_IODA_A.mzML,,,0,,0,0,0,0
208,PF200_V601865_2B4_pos_v7_IODA.mzML,Lycium barbarum,Lycium barbarum FRUIT,0,Solanaceae,0,83,83,738
209,PF200_V602421_2C4_pos_v7_IODA.mzML,Arctium lappa,Arctium lappa RACINE,0,Asteraceae,0.333333333,242,242,3902
210,PF200_Blank9DMSO_1H2O_2A1_pos_v7_IODA_end.mzML,,,0,,0,0,0,0
211,PF200_V601890_1H4_pos_v7_IODA.mzML,Physalis alkekengi,Physalis alkekengi FRUIT,0,Solanaceae,0.625,0,0,738
212,PF200_Blank9DMSO_1H2O_2A1_pos_v7_IODA_H.mzML,,,0,,0.375,0,0,0
213,PF200_Blank9DMSO_1H2O_2A1_pos_v7_IODA_G.mzML,,,0,,0,0,0,0
214,PF200_V602714_2F8_pos_v7_IODA.mzML,Adenophora stricta,Adenophora stricta RACINE,0,Campanulaveae,0.1875,12,12,0
215,PF200_V601232_1D6_pos_v7_IODA.mzML,Taraxacum campylodes,Taraxacum campylodes FEUILLE,0,Asteraceae,0.927419355,87,87,3902
216,PF200_Blank9DMSO_1H2O_2A1_pos_v7_IODA_D.mzML,,,0,,0,0,0,0
217,PF200_Blank9DMSO_1H2O_1A1_pos_v7_IODA_F.mzML,,,0,,0,0,0,0
218,PF200_V700052_2G9_pos_v7_IODA.mzML,Urtica dioica,Urtica dioica FEUILLE,0,Urticaceae,0.076923077,63,63,63
219,PF200_V602601_1E7_pos_v7_IODA.mzML,Verbena officinalis,Verbena officinalis PARTIE AERIENNE,0,Verbenaceae,0.265060241,117,117,117
220,PF200_V602669_1H9_pos_v7_IODA.mzML,Morus alba,Morus alba FEUILLE,0,Moraceae,0.52173913,695,737,1163
221,PF200_QCMix_2A3_pos_v7_IODA_B.mzML,,,0,,0.0625,0,0,0
222,PF200_QCMix_1A3_pos_v7_IODA_G.mzML,,,0,,0,0,0,0
223,PF200_V601188_1D7_pos_v7_IODA.mzML,Equisetum arvense,Equisetum arvense PLANTE ENTIERE,0,Equisetaceae,0,146,146,146
224,PF200_Blank9DMSO_1H2O_1A1_pos_v7_IODA_B.mzML,,,0,,0,0,0,0
225,PF200_ID24895_1C5_pos_v7_IODA.mzML,Paeonia suffruticosa,Paeonia suffruticosa TEGUMENT,0,Paeoniaceae,0.626373626,263,630,630
226,PF200_Blank9DMSO_1H2O_1A1_pos_v7_IODA_C.mzML,,,0,,0,0,0,0
227,PF200_V602663_2D7_pos_v7_IODA.mzML,Hibiscus sabdariffa,Hibiscus sabdariffa FLEUR,0,Malvaceae,0,36,36,354
