	filename	ATTRIBUTE_Family	ATTRIBUTE_Genus	ATTRIBUTE_Species	initial_F	filtered_F	Total_SF	Total_SNAF	Total_SNA_GQMFF	MF_prediction_ratio	FS	FC	PS	LC	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family	CCs	CCg	CC	New_CC_in_sp	New_CC_in_genus	SC
63	LQ-01-61-61_pos.mzXML	Celastraceae	Mystroxylon	Mystroxylon aethiopicum	968	50.0	2.0	2.0	1.0	0.02	0.04	0.04		0.88	0.0	0.0	6064						1
64	LQ-01-61-49_pos.mzXML	Celastraceae	Gymnosporia	Gymnosporia buxifolia	1111	48.0	2.0	2.0	0.0	0.0	0.04	0.04		0.81	0.0	329.0	6064						0
65	LQ-01-61-69_pos.mzXML	Celastraceae	Salacia	Salacia cochinchinensis	1219	32.0	1.0	1.0	0.0	0.0	0.03	0.03		0.78	0.0	514.0	6064						0
66	LQ-01-61-38_pos.mzXML	Celastraceae	Euonymus	Euonymus sanguineus	1348	30.0	1.0	1.0	0.0	0.0	0.03	0.03		0.79	1.0	440.0	6064						0
67	LQ-01-61-10_pos.mzXML	Celastraceae	Elaeodendron	Elaeodendron schweinfurthianum	1401	59.0	3.0	2.0	0.0	0.0	0.05	0.03		0.87	0.0	64.0	6064						0
68	LQ-01-61-70_pos.mzXML	Celastraceae	Salacia	Salacia cochinchinensis	1047	3.0	0.0	0.0	0.0	0.0	0.0	0.0		0.78	0.0	514.0	6064						1
69	LQ-01-61-36_pos.mzXML	Celastraceae	Euonymus	Euonymus myrianthus	1386	21.0	0.0	0.0	0.0	0.0	0.0	0.0		0.79	0.0	440.0	6064						0
70	LQ-01-61-12_pos.mzXML	Celastraceae	Evonymopsis	Evonymopsis sp	1185	15.0	0.0	0.0	0.0	0.0	0.0	0.0		0.88	0.0	0.0	6064						0
71	LQ-01-61-14_pos.mzXML	Celastraceae	Evonymopsis	Evonymopsis sp	1471	3.0	0.0	0.0	0.0	0.0	0.0	0.0		0.88	0.0	0.0	6064						1
72	LQ-01-61-15_pos.mzXML	Celastraceae	Euonymus	Euonymus alatus	919	37.0	0.0	0.0	0.0	0.0	0.0	0.0		0.7	92.0	440.0	6064						0
73	LQ-01-61-16_pos.mzXML	Celastraceae	Euonymus	Euonymus alatus	1334	19.0	0.0	0.0	0.0	0.0	0.0	0.0		0.7	92.0	440.0	6064						0
74	LQ-01-61-40_pos.mzXML	Celastraceae	Loeseneriella	Loeseneriella urceolus	1510	29.0	0.0	0.0	0.0	0.0	0.0	0.0		0.88	0.0	0.0	6064						0
75	LQ-01-61-39_pos.mzXML	Celastraceae	Euonymus	Euonymus sanguineus	1246	14.0	0.0	0.0	0.0	0.0	0.0	0.0		0.79	1.0	440.0	6064						0
