	annotation network number	LQ-01-61-01_pos.mzXML	retention time (min)	row m/z	adduct (ion identity)	row ID	neutral mass (ion identity)	Compound name (gnps)	adduct (gnps)	MF (sirius)	adduct (sirius)	Compound name (sirius)	NPC#pathway	NPC#superclass	NPC#class	annotation	status
13467	3552.0		6.78	495.3237	['[M+NH4]+', '[M+NH4]+', '[M+Na]+', '[M+Na]+', '[M+Na]+', '[M+K]+']	[12327, 12330, 12500, 12505, 12506, 13080]	456.3605	['not available', 'not available', 'not available', 'NCGC00385334-01_C30H48O3_3-Hydroxyurs-12-en-23-oic acid', 'not available', 'not available']	['not available', 'not available', 'not available', 'M+Na', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	annotated	not interesting
13466	3552.0		6.78	495.3237	['[M+NH4]+', '[M+NH4]+', '[M+Na]+', '[M+Na]+', '[M+Na]+', '[M+K]+']	[12327, 12330, 12500, 12505, 12506, 13080]	456.3605	['not available', 'not available', 'not available', 'NCGC00385334-01_C30H48O3_3-Hydroxyurs-12-en-23-oic acid', 'not available', 'not available']	['not available', 'not available', 'not available', 'M+Na', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	annotated	not interesting
13461	3552.0		6.78	495.3237	['[M+NH4]+', '[M+NH4]+', '[M+Na]+', '[M+Na]+', '[M+Na]+', '[M+K]+']	[12327, 12330, 12500, 12505, 12506, 13080]	456.3605	['not available', 'not available', 'not available', 'NCGC00385334-01_C30H48O3_3-Hydroxyurs-12-en-23-oic acid', 'not available', 'not available']	['not available', 'not available', 'not available', 'M+Na', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	['not available', 'not available', 'not available', 'not available', 'not available', 'not available']	annotated	not interesting
13190	12229x		6.79	471.3472	['not available']	[12229]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16006	15045x		6.8	610.5053	['not available']	[15045]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
15297	14336x		6.81	552.311	['not available']	[14336]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
13430	3555.0		6.81	483.3814	['[M-H2O+H]+', '[M+NH4]+', '[M+Na]+']	[11118, 12469, 12659]	460.3917	['(20S)-Panaxadiol', 'not available', 'not available']	['M+H-H2O', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	['not available', 'not available', 'not available']	annotated	not interesting
14649	13688x		6.81	516.4047	['not available']	[13688]	not available	"['""2a-Acetoxy-3,22-stictandione""']"	['[M+NH4]']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	annotated	not interesting
15364	14403x		6.81	556.4576	['not available']	[14403]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
16671	15710x		6.81	761.4806	['not available']	[15710]	not available	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	['not available']	non anotated	not interesting
