	sample_id	anomaly_IF	anomaly_LOF	anomaly_OCSVM	SC
1547	VGF159_C09	1	1	1	0
1548	VGF159_C10	1	-1	1	1
1549	VGF159_C11	1	1	1	0
1550	VGF159_D02	1	1	1	0
1551	VGF159_D03	1	-1	1	1
1552	VGF159_D04	1	-1	1	1
1553	VGF159_D05	1	1	1	0
1554	VGF159_D06	1	1	1	0
1555	VGF159_D07	1	1	1	0
1556	VGF159_D08	1	1	1	0
1557	VGF159_D09	1	1	1	0
1558	VGF159_D10	1	1	1	0
1559	VGF159_D11	1	1	1	0
1560	VGF159_E02	1	1	1	0
1561	VGF159_E03	1	1	1	0
1562	VGF159_E04	1	-1	1	1
1563	VGF159_E05	1	-1	1	1
1564	VGF159_E06	1	1	1	0
1565	VGF159_E07	1	-1	1	1
1566	VGF159_E08	1	1	1	0
1567	VGF159_E09	1	1	1	0
1568	VGF159_E10	1	1	1	0
1569	VGF159_E11	1	1	1	0
1570	VGF159_F02	1	1	1	0
1571	VGF159_F03	1	-1	1	1
1572	VGF159_F04	1	1	1	0
1573	VGF159_F05	1	1	1	0
1574	VGF159_F06	1	1	1	0
1575	VGF159_F07	1	1	1	0
1576	VGF159_F08	1	1	1	0
1577	VGF159_F09	1	1	1	0
1578	VGF159_F10	1	1	1	0
1579	VGF159_F11	1	1	1	0
1580	VGF159_G02	1	1	1	0
1581	VGF159_G03	1	1	1	0
1582	VGF159_G04	1	1	1	0
1583	VGF159_G05	1	1	1	0
1584	VGF159_G06	1	1	1	0
1585	VGF159_G07	1	1	1	0
1586	VGF159_G08	1	1	1	0
1587	VGF159_G09	1	1	1	0
1588	VGF159_G10	1	1	1	0
1589	VGF159_G11	1	1	1	0
1590	VGF159_H02	1	1	1	0
1591	VGF159_H03	1	1	1	0
1592	VGF159_H04	1	1	1	0
1593	VGF159_H05	1	1	1	0
1594	VGF159_H06	1	1	1	0
1595	VGF159_H07	1	1	1	0
1596	VGF159_H08	1	1	1	0
1597	VGF159_H09	1	1	1	0
1598	VGF159_H10	1	-1	1	1
1599	VGF159_H11	1	1	1	0
