shared name	CAN_name	CAN_molecularFormula	CAN_adduct	CAN_pathway	CAN_superclass	CAN_classe
9266	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8423_Celastraceae_pos_SIRIUS_9266	C29H37NO11	[M+Na]+	Terpenoids	Sesquiterpenoids	
9267	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8424_Celastraceae_pos_SIRIUS_9267	C30H51NO3	[M+H]+	Terpenoids	Triterpenoids	Oleanane triterpenoids
9268	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8425_Celastraceae_pos_SIRIUS_9268	C22H18N2O3	[M-H2O+H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
9269	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8426_Celastraceae_pos_SIRIUS_9269	C16H14N4O3	[M+K]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
9270	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8427_Celastraceae_pos_SIRIUS_9270	C20H26N2O8	[M+Na]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
9271	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8428_Celastraceae_pos_SIRIUS_9271	C24H42O6	[M-H4O2+H]+	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides
9272	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8429_Celastraceae_pos_SIRIUS_9272	C30H49NO4	[M-H4O2+H]+	Terpenoids	Triterpenoids	
889	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/842_Celastraceae_pos_SIRIUS_889	C10H22O3	[M+H]+	Fatty acids	Fatty acyls	Fatty alcohols
9273	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8430_Celastraceae_pos_SIRIUS_9273	C30H49NO6	[M-H2O+H]+	Terpenoids	Triterpenoids	
9274	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8431_Celastraceae_pos_SIRIUS_9274	C13H22O6	[M+K]+	Terpenoids	Apocarotenoids	
9276	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8433_Celastraceae_pos_SIRIUS_9276	C23H31NO5	[M-H4O2+H]+	Terpenoids	Sesquiterpenoids	Daucane sesquiterpenoids
9278	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8434_Celastraceae_pos_SIRIUS_9278	C30H24O14	[M+H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavan-3-ols
9279	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8435_Celastraceae_pos_SIRIUS_9279	C7H13N4O4S	[M+Na]+	Amino acids and Peptides	Small peptides	Aminoacids
9280	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8436_Celastraceae_pos_SIRIUS_9280	C15H12O7	[M-H2O+H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavan-3-ols
9281	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8437_Celastraceae_pos_SIRIUS_9281	C11H12O3	[M-H2O+H]+	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives
9282	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8438_Celastraceae_pos_SIRIUS_9282	C21H18O6	[M-H2O+H]+	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple phenolic acids
9283	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8439_Celastraceae_pos_SIRIUS_9283	C18H16O7	[M-H2O+H]+	Polyketides		
890	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/843_Celastraceae_pos_SIRIUS_890	C24H26O8	[M-H2O+H]+	Shikimates and Phenylpropanoids	Lignans	
9284	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8440_Celastraceae_pos_SIRIUS_9284	C35H56O7	[M-H4O2+H]+	Polyketides		
9285	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8441_Celastraceae_pos_SIRIUS_9285	C22H18N2O3	[M+H]+	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
9287	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8442_Celastraceae_pos_SIRIUS_9287	C18H16O6	[M-H4O2+H]+	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple phenolic acids
9289	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8443_Celastraceae_pos_SIRIUS_9289	C27H33N3O4	[M+H]+	Amino acids and Peptides		
9291	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8444_Celastraceae_pos_SIRIUS_9291	C15H14O5	[M-H2O+H]+	Polyketides	Chromanes	
9292	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8445_Celastraceae_pos_SIRIUS_9292	C15H13NO8	[M-H4O2+H]+	Amino acids and Peptides		
9293	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8446_Celastraceae_pos_SIRIUS_9293	C18H31NO5	[M+H3N+H]+	Polyketides	Macrolides	
9294	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8447_Celastraceae_pos_SIRIUS_9294	C18H21N3	[M+H]+	Alkaloids		
9295	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8448_Celastraceae_pos_SIRIUS_9295	C18H16O7	[M+H]+	Polyketides	Aromatic polyketides	Depsides and depsidones
9297	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8449_Celastraceae_pos_SIRIUS_9297	C16H25N5O5	[M+Na]+	Carbohydrates	Nucleosides	Purine nucleosides
891	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/844_Celastraceae_pos_SIRIUS_891	C16H22O3	[M-H2O+H]+	Polyketides	Macrolides	
9298	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8450_Celastraceae_pos_SIRIUS_9298	C12H14N2O6	[M+K]+	Amino acids and Peptides	Small peptides	
9299	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8451_Celastraceae_pos_SIRIUS_9299	C16H17N3O5S	[M+K]+	Amino acids and Peptides	β-lactams	
9300	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8452_Celastraceae_pos_SIRIUS_9300	C29H37NO12	[M+H3N+H]+	Terpenoids	Sesquiterpenoids	Agarofuran sesquiterpenoids
9302	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8453_Celastraceae_pos_SIRIUS_9302	C13H12O6	[M-H4O2+H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavan-3-ols
9303	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8454_Celastraceae_pos_SIRIUS_9303	C14H14O3	[M-H4O2+H]+	Shikimates and Phenylpropanoids		
9305	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8455_Celastraceae_pos_SIRIUS_9305	C14H12O6	[M-H4O2+H]+	Shikimates and Phenylpropanoids	Flavonoids	Flavan-3-ols
9306	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8456_Celastraceae_pos_SIRIUS_9306	C9H19NO3S	[M+Na]+	Amino acids and Peptides	Small peptides	Aminoacids
9307	/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS/8457_Celastraceae_pos_SIRIUS_9307	C20H27NO8	[M-H4O2+H]+	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides
