name,directoryName,pathway,pathwayProbability,superclass,superclassProbability,class,classProbability,ClassyFirePrediction,ClassyFirePredictionProbability
9363,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8504_Celastraceae_pos_SIRIUS_9363,N/A,0.0,N/A,0.0,N/A,0.0,Thiophene carboxylic acids and derivatives,0.6641919612884521
9364,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8505_Celastraceae_pos_SIRIUS_9364,Terpenoids,0.6727508902549744,Apocarotenoids,0.38542577624320984,N/A,0.0,Branched fatty acids,0.6599550843238831
9366,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8506_Celastraceae_pos_SIRIUS_9366,Terpenoids,0.46136945486068726,Monoterpenoids,0.40680569410324097,N/A,0.0,Benzene and substituted derivatives,0.6342161297798157
9367,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8507_Celastraceae_pos_SIRIUS_9367,Fatty acids,0.7497063279151917,N/A,0.0,N/A,0.0,Fatty Acyls,0.580191969871521
9368,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8508_Celastraceae_pos_SIRIUS_9368,Carbohydrates,0.6729432344436646,Aminosugars and aminoglycosides,0.9055904746055603,Aminosugars,0.7244044542312622,Aminosaccharides,0.5376631021499634
9369,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8509_Celastraceae_pos_SIRIUS_9369,Fatty acids,0.9957591891288757,Glycerolipids,0.8585062026977539,N/A,0.0,Lineolic acids and derivatives,0.5760157108306885
897,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/850_Celastraceae_pos_SIRIUS_897,Terpenoids,0.7781082391738892,Sesquiterpenoids,0.6924286484718323,N/A,0.0,Prenol lipids,0.5780529379844666
9370,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8510_Celastraceae_pos_SIRIUS_9370,Shikimates and Phenylpropanoids,0.9996255040168762,Flavonoids,0.9993168711662292,Flavonols,0.7639850378036499,Flavonols,0.8301101922988892
9371,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8511_Celastraceae_pos_SIRIUS_9371,Shikimates and Phenylpropanoids,0.9782229661941528,Coumarins,0.8960165977478027,Furocoumarins,0.5734423995018005,Coumarins and derivatives,0.8846927285194397
9372,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8512_Celastraceae_pos_SIRIUS_9372,Polyketides,0.8381207585334778,N/A,0.0,N/A,0.0,Macrolides and analogues,0.5395124554634094
9373,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8513_Celastraceae_pos_SIRIUS_9373,Terpenoids,0.7448378205299377,N/A,0.0,N/A,0.0,Prenol lipids,0.9236567616462708
9374,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8514_Celastraceae_pos_SIRIUS_9374,Alkaloids,0.6257998943328857,Ornithine alkaloids,0.3475039303302765,Polyamines,0.37217551469802856,Alkanolamines,0.5564229488372803
9375,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8515_Celastraceae_pos_SIRIUS_9375,Shikimates and Phenylpropanoids,0.743074357509613,Coumarins,0.44559136033058167,N/A,0.0,Benzenoids,0.9492783546447754
9376,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8516_Celastraceae_pos_SIRIUS_9376,Shikimates and Phenylpropanoids,0.9977782964706421,Coumarins,0.9870919585227966,Simple coumarins,0.9700296521186829,Coumarins and derivatives,0.9760843515396118
9377,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8517_Celastraceae_pos_SIRIUS_9377,Alkaloids,0.9904031753540039,Nicotinic acid alkaloids,0.5306742191314697,Pyridine alkaloids,0.5383648872375488,Dichlorobenzenes,0.6761670708656311
9378,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8518_Celastraceae_pos_SIRIUS_9378,Amino acids and Peptides,0.6562473177909851,Small peptides,0.6154517531394958,Aminoacids,0.7614028453826904,Organic sulfonic acids and derivatives,0.7367774844169617
9382,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8519_Celastraceae_pos_SIRIUS_9382,Terpenoids,0.9954349994659424,Triterpenoids,0.9815186262130737,Oleanane triterpenoids,0.5647863745689392,Triterpenoids,0.9797945618629456
898,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/851_Celastraceae_pos_SIRIUS_898,Terpenoids,0.7635574340820312,Sesquiterpenoids,0.34967726469039917,N/A,0.0,Prenol lipids,0.5383636951446533
9383,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8520_Celastraceae_pos_SIRIUS_9383,Fatty acids,0.9937588572502136,Fatty amides,0.9396779537200928,Primary amides,0.9821141362190247,Fatty Acyls,0.8027570247650146
9384,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8521_Celastraceae_pos_SIRIUS_9384,Polyketides,0.9046409726142883,Aromatic polyketides,0.24800144135951996,Sorbicilinoids,0.4426247477531433,Cyclic alcohols and derivatives,0.5218440890312195
9386,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8522_Celastraceae_pos_SIRIUS_9386,Fatty acids,0.9822313785552979,Spingolipids,0.8894574046134949,Sphingoid bases,0.8436563014984131,"Amino acids, peptides, and analogues",0.9326269626617432
9387,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8523_Celastraceae_pos_SIRIUS_9387,Polyketides,0.33846431970596313,Linear polyketides,0.6935834288597107,Open-chain polyketides,0.6350957155227661,Fatty Acyls,0.9802426695823669
9388,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8524_Celastraceae_pos_SIRIUS_9388,Polyketides,0.9563775062561035,Linear polyketides,0.8819230794906616,Open-chain polyketides,0.8403027057647705,Terpene glycosides,0.5053126811981201
9389,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8525_Celastraceae_pos_SIRIUS_9389,Fatty acids,0.9992062449455261,Fatty amides,0.9935424327850342,N-acyl amines,0.8616774082183838,N-acyl amines,0.9906170964241028
9390,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8526_Celastraceae_pos_SIRIUS_9390,Terpenoids,0.7307491898536682,N/A,0.0,N/A,0.0,Prenol lipids,0.5977811217308044
9391,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8527_Celastraceae_pos_SIRIUS_9391,Amino acids and Peptides,0.8421590328216553,N/A,0.0,N/A,0.0,"Amino acids, peptides, and analogues",0.5674644112586975
9392,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8528_Celastraceae_pos_SIRIUS_9392,Terpenoids,0.8908653855323792,Sesquiterpenoids,0.34040752053260803,N/A,0.0,Cyclic alcohols and derivatives,0.5696761608123779
9393,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8529_Celastraceae_pos_SIRIUS_9393,Fatty acids,0.999483585357666,Fatty amides,0.9945366382598877,N-acyl ethanolamines (endocannabinoids),0.9204531311988831,N-acyl amines,0.9899095296859741
899,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/852_Celastraceae_pos_SIRIUS_899,Fatty acids,0.9337358474731445,Glycerolipids,0.9943166375160217,Diacylglycerols,0.8994275331497192,Triradylcglycerols,0.8303795456886292
9394,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8530_Celastraceae_pos_SIRIUS_9394,Fatty acids,0.9209734797477722,Fatty acyls,0.34036844968795776,N/A,0.0,Acetamides,0.691979706287384
9395,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8531_Celastraceae_pos_SIRIUS_9395,Shikimates and Phenylpropanoids,0.9999874830245972,Flavonoids,0.9999600052833557,Flavonols,0.9987856149673462,Flavonoid O-glycosides,0.9958714842796326
9396,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8532_Celastraceae_pos_SIRIUS_9396,Alkaloids,0.9234714508056641,Pseudoalkaloids (transamidation),0.780707061290741,Steroidal alkaloids,0.6759815812110901,Steroidal alkaloids,0.7739611864089966
9400,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8534_Celastraceae_pos_SIRIUS_9400,Polyketides,0.40638652443885803,N/A,0.0,N/A,0.0,Benzene and substituted derivatives,0.5642306208610535
9402,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8535_Celastraceae_pos_SIRIUS_9402,Alkaloids,0.8529747128486633,N/A,0.0,N/A,0.0,Benzene and substituted derivatives,0.7928212285041809
9403,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8536_Celastraceae_pos_SIRIUS_9403,Shikimates and Phenylpropanoids,0.9997895359992981,Flavonoids,0.9996347427368164,Flavonols,0.9977580308914185,Flavonoid O-glycosides,0.9850985407829285
9404,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8537_Celastraceae_pos_SIRIUS_9404,Fatty acids,0.9623629450798035,Fatty amides,0.7698706984519958,N/A,0.0,Secondary alcohols,0.6827221512794495
9405,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8538_Celastraceae_pos_SIRIUS_9405,Terpenoids,0.5134629607200623,Sesquiterpenoids,0.5059272050857544,N/A,0.0,Sesquiterpenoids,0.6725117564201355
9407,/tmp/SIRIUS/2111_Celastraceae/Workspace_SIRIUS_sirius/8539_Celastraceae_pos_SIRIUS_9407,Polyketides,0.17467530071735382,Linear polyketides,0.34607625007629395,N/A,0.0,Fatty acid esters,0.6721200942993164
